document,table,panel,row,col,token,claim_id,source,pipeline_script
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Number of no-hire months,3,+0.0587,,I39.json:estimates.zero.excess.DiD,i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Number of no-hire months,4,−0.1097,,I39.json:estimates.zero.excess.ci.0,i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Number of no-hire months,4,+0.2086,,I39.json:estimates.zero.excess.ci.1,i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Number of no-hire months,5,0.55,,I39.json:estimates.zero.excess.equiv.SESOI,i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,"Longest no-hire spell, months",1,−0.3566,,I38.json:estimates.panelB_spell_concentration.maxspell.DiD,i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,"Longest no-hire spell, months",2,−0.3688,,I39.json:estimates.ms.expected.DiD,i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,"Longest no-hire spell, months",3,+0.0122,C43,I39.json:estimates.ms.excess.DiD,i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,"Longest no-hire spell, months",4,−0.1330,C43,I39.json:estimates.ms.excess.DiD (ci0),i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,"Longest no-hire spell, months",4,+0.1608,C43,I39.json:estimates.ms.excess.DiD (ci1),i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,"Longest no-hire spell, months",5,0.36,,I39.json:estimates.ms.excess.equiv.SESOI,i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Herfindahl index of hires across months,1,−0.0248,,I38.json:estimates.panelB_spell_concentration.hhi.DiD,i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Herfindahl index of hires across months,2,−0.0309,,I39.json:estimates.hhi.expected.DiD,i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Herfindahl index of hires across months,3,+0.0061,C44,I39.json:estimates.hhi.excess.DiD,i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Herfindahl index of hires across months,4,−0.0064,C44,I39.json:estimates.hhi.excess.DiD (ci0),i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Herfindahl index of hires across months,4,+0.0190,C44,I39.json:estimates.hhi.excess.DiD (ci1),i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Herfindahl index of hires across months,5,0.025,C44a,I39.json:estimates.t2.excess.DiD (ci1),i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Share of hires in the two busiest months,1,−0.0249,,I38.json:estimates.panelB_spell_concentration.top2.DiD,i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Share of hires in the two busiest months,2,−0.0335,,I39.json:estimates.t2.expected.DiD,i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Share of hires in the two busiest months,3,+0.0086,C44a,I39.json:estimates.t2.excess.DiD,i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Share of hires in the two busiest months,4,−0.0082,C42,I38.json:estimates.panelA_excess.excess_uniform.DiD (ci0),i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Share of hires in the two busiest months,4,+0.0250,C44a,I39.json:estimates.t2.excess.DiD (ci1),i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel A. Twelve-month window,Share of hires in the two busiest months,5,0.025,C44a,I39.json:estimates.t2.excess.DiD (ci1),i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel B. Thirty-six-month window,Share of no-hire months,1,−0.055,,I40.json:estimates.panelB_36m_clustering.z.DiD,i40_salvage.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel B. Thirty-six-month window,Share of no-hire months,2,−0.086,,I40.json:estimates.panelB_36m_clustering.z.ci.0,i40_salvage.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel B. Thirty-six-month window,Share of no-hire months,2,−0.025,,I38.json:estimates.panelB_spell_concentration.hhi.DiD,i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel B. Thirty-six-month window,Share of no-hire months,3,+0.0088,C45,I40.json:estimates.panelB_36m_clustering.x.DiD,i40_salvage.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel B. Thirty-six-month window,Share of no-hire months,4,−0.0058,C45,I40.json:estimates.panelB_36m_clustering.x.DiD (ci0),i40_salvage.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel B. Thirty-six-month window,Share of no-hire months,4,+0.0220,C45,I40.json:estimates.panelB_36m_clustering.x.DiD (ci1),i40_salvage.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel B. Thirty-six-month window,Share of no-hire months,5,0.046,,I38.json:estimates.panelA_excess.excess_uniform.equiv.SESOI,i38_excess_zeros.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel B. Thirty-six-month window,"Longest no-hire spell, months",1,−0.756,,I40.json:estimates.panelB_36m_clustering.ms.DiD,i40_salvage.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel B. Thirty-six-month window,"Longest no-hire spell, months",2,−1.335,,I40.json:estimates.panelB_36m_clustering.ms.ci.0,i40_salvage.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel B. Thirty-six-month window,"Longest no-hire spell, months",2,−0.161,,I39.json:estimates.ms.actual.ci.1,i39_spell_benchmark.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel B. Thirty-six-month window,"Longest no-hire spell, months",3,+0.297,C45a,I40.json:estimates.panelB_36m_clustering.xms.DiD,i40_salvage.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel B. Thirty-six-month window,"Longest no-hire spell, months",4,−0.117,C45a,I40.json:estimates.panelB_36m_clustering.xms.DiD (ci0),i40_salvage.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel B. Thirty-six-month window,"Longest no-hire spell, months",4,+0.727,C45a,I40.json:estimates.panelB_36m_clustering.xms.DiD (ci1),i40_salvage.py
appendix,Table A1. Monthly hiring measures and the volume benchmark,Panel B. Thirty-six-month window,"Longest no-hire spell, months",5,1.0,,I40.json:estimates.panelB_36m_clustering.xms.equiv.SESOI,i40_salvage.py
appendix,Table A2. Decomposition of the average increase in hiring,,"Change in active-month share,",1,+0.0443,,I35.json:estimates.canonical.B1_dp.est,i35_canonical.py
appendix,Table A2. Decomposition of the average increase in hiring,,"Change in active-month share,",2,+0.0247,,I35.json:estimates.canonical.B1_dp.ci.0,i35_canonical.py
appendix,Table A2. Decomposition of the average increase in hiring,,"Change in active-month share,",2,+0.0645,,I35.json:estimates.canonical.B1_dp.ci.1,i35_canonical.py
appendix,Table A2. Decomposition of the average increase in hiring,,"Change in active-month hiring intensity,",1,+0.0048,C5c,I35.json:estimates.canonical.B2_di.est,i35_canonical.py
appendix,Table A2. Decomposition of the average increase in hiring,,"Change in active-month hiring intensity,",2,−0.0001,C5c,I35.json:estimates.canonical.B2_di.est (ci0),i35_canonical.py
appendix,Table A2. Decomposition of the average increase in hiring,,"Change in active-month hiring intensity,",2,+0.0102,C5c,I35.json:estimates.canonical.B2_di.est (ci1),i35_canonical.py
appendix,Table A2. Decomposition of the average increase in hiring,,"Change in log active-month share,",1,+0.1011,C5a,I35.json:estimates.canonical.B3_dlogp.est,i35_canonical.py
appendix,Table A2. Decomposition of the average increase in hiring,,"Change in log active-month share,",2,+0.0544,C5a,I35.json:estimates.canonical.B3_dlogp.est (ci0),i35_canonical.py
appendix,Table A2. Decomposition of the average increase in hiring,,"Change in log active-month share,",2,+0.1496,C5a,I35.json:estimates.canonical.B3_dlogp.est (ci1),i35_canonical.py
appendix,Table A2. Decomposition of the average increase in hiring,,"Change in log active-month intensity,",1,+0.0652,C5b,I35.json:estimates.canonical.B4_dlogi.est,i35_canonical.py
appendix,Table A2. Decomposition of the average increase in hiring,,"Change in log active-month intensity,",2,+0.0074,C5b,I35.json:estimates.canonical.B4_dlogi.est (ci0),i35_canonical.py
appendix,Table A2. Decomposition of the average increase in hiring,,"Change in log active-month intensity,",2,+0.1242,C5b,I35.json:estimates.canonical.B4_dlogi.est (ci1),i35_canonical.py
appendix,Table B1. Alternative measures of pre-deal hiring activity,,Hiring rate,1,0.4964,,I47.json:estimates.panelA_fwl_adjusted.neg_log_rate.slope_raw.slope,i47_state_final.py
appendix,Table B1. Alternative measures of pre-deal hiring activity,,Hiring rate,2,0.5650,C84,I47.json:estimates.panelA_fwl_adjusted.neg_log_rate.slope_adj_fwl.slope,i47_state_final.py
appendix,Table B1. Alternative measures of pre-deal hiring activity,,Hiring rate,2,0.210,C84,I47.json:estimates.panelA_fwl_adjusted.neg_log_rate.slope_adj_fwl.slope (ci0),i47_state_final.py
appendix,Table B1. Alternative measures of pre-deal hiring activity,,Hiring rate,2,0.968,C84,I47.json:estimates.panelA_fwl_adjusted.neg_log_rate.slope_adj_fwl.slope (ci1),i47_state_final.py
appendix,Table B1. Alternative measures of pre-deal hiring activity,,Hiring volume,1,0.1275,,I47.json:estimates.panelA_fwl_adjusted.neg_log_volume.slope_raw.slope,i47_state_final.py
appendix,Table B1. Alternative measures of pre-deal hiring activity,,Hiring volume,2,0.1578,,I47.json:estimates.panelA_fwl_adjusted.neg_log_volume.slope_adj_fwl.slope,i47_state_final.py
appendix,Table B1. Alternative measures of pre-deal hiring activity,,Hiring volume,2,0.020,,I47.json:estimates.panelA_fwl_adjusted.neg_log_volume.slope_adj_fwl.ci.0,i47_state_final.py
appendix,Table B1. Alternative measures of pre-deal hiring activity,,Hiring volume,2,0.291,,I47.json:estimates.panelA_fwl_adjusted.neg_log_volume.slope_adj_fwl.ci.1,i47_state_final.py
appendix,Table B1. Alternative measures of pre-deal hiring activity,,Share of months with no hiring,1,0.5259,,I47.json:estimates.panelA_fwl_adjusted.dormancy.slope_raw.slope,i47_state_final.py
appendix,Table B1. Alternative measures of pre-deal hiring activity,,Share of months with no hiring,2,0.3522,C86,I47.json:estimates.panelA_fwl_adjusted.dormancy.slope_adj_fwl.slope,i47_state_final.py
appendix,Table B1. Alternative measures of pre-deal hiring activity,,Share of months with no hiring,2,−0.079,C86,I47.json:estimates.panelA_fwl_adjusted.dormancy.slope_adj_fwl.slope (ci0),i47_state_final.py
appendix,Table B1. Alternative measures of pre-deal hiring activity,,Share of months with no hiring,2,0.829,C86,I47.json:estimates.panelA_fwl_adjusted.dormancy.slope_adj_fwl.slope (ci1),i47_state_final.py
appendix,Table B2. What component of the pre-deal state carries the gradient?,,"Hiring state, controlling for pre-deal employment growth",1,0.410,C62,I44.json:estimates.panelD_scale_vs_release.dorm.coef,i44_state_variable.py
appendix,Table B2. What component of the pre-deal state carries the gradient?,,"Hiring state, controlling for pre-deal employment growth",2,0.078,C62,I44.json:estimates.panelD_scale_vs_release.dorm.coef (ci0),i44_state_variable.py
appendix,Table B2. What component of the pre-deal state carries the gradient?,,"Hiring state, controlling for pre-deal employment growth",2,0.753,C62,I44.json:estimates.panelD_scale_vs_release.dorm.coef (ci1),i44_state_variable.py
appendix,Table B2. What component of the pre-deal state carries the gradient?,,Historical share of no-hire months,1,0.559,C35,I41.json:estimates.panelD_transitory_vs_structural.historical.slope,i41_moderator_defense.py
appendix,Table B2. What component of the pre-deal state carries the gradient?,,Historical share of no-hire months,2,0.241,C35,I41.json:estimates.panelD_transitory_vs_structural.historical.slope (ci0),i41_moderator_defense.py
appendix,Table B2. What component of the pre-deal state carries the gradient?,,Historical share of no-hire months,2,0.885,C35,I41.json:estimates.panelD_transitory_vs_structural.historical.slope (ci1),i41_moderator_defense.py
appendix,Table B2. What component of the pre-deal state carries the gradient?,,Length of hiring pause in progress at closing,1,0.040,C34,I41.json:estimates.panelD_transitory_vs_structural.current_spell.slope,i41_moderator_defense.py
appendix,Table B2. What component of the pre-deal state carries the gradient?,,Length of hiring pause in progress at closing,2,−0.016,C34,I41.json:estimates.panelD_transitory_vs_structural.current_spell.slope (ci0),i41_moderator_defense.py
appendix,Table B2. What component of the pre-deal state carries the gradient?,,Length of hiring pause in progress at closing,2,0.107,C34,I41.json:estimates.panelD_transitory_vs_structural.current_spell.slope (ci1),i41_moderator_defense.py
appendix,Table B2. What component of the pre-deal state carries the gradient?,,Residualised hiring state,1,0.243,C36,I41.json:estimates.panelB_residualized.resid_slope.slope,i41_moderator_defense.py
appendix,Table B2. What component of the pre-deal state carries the gradient?,,Residualised hiring state,2,−0.221,C36,I41.json:estimates.panelB_residualized.resid_slope.slope (ci0),i41_moderator_defense.py
appendix,Table B2. What component of the pre-deal state carries the gradient?,,Residualised hiring state,2,0.723,C36,I41.json:estimates.panelB_residualized.resid_slope.slope (ci1),i41_moderator_defense.py
appendix,Table B2. What component of the pre-deal state carries the gradient?,,"Earlier hiring state, months −36 to −25",1,0.268,E06,I66.json:estimates.panelB_post_early_state.observed,i66_pretrend_zeros.py
appendix,Table B3. Alternative transformations of the hiring outcome,,"Winsorised 5/95, primary",1,0.710,E01,I60.json:estimates.specs.winsor_5_95.observed,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,"Winsorised 5/95, primary",2,0.101,E01a,I60.json:estimates.specs.winsor_5_95.null_mean,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,"Winsorised 5/95, primary",2,0.154,E01b,I60.json:estimates.specs.winsor_5_95.null_sd,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,"Winsorised 5/95, primary",3,3.96,E01d,I60.json:estimates.specs.winsor_5_95.z,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,"Winsorised 5/95, primary",4,0.0005,E01c,I60.json:estimates.specs.winsor_5_95.RI_p,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Unwinsorised,1,0.837,E02,I60.json:estimates.specs.raw.observed,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Unwinsorised,2,0.122,E02a,I60.json:estimates.specs.raw.null_mean,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Unwinsorised,2,0.181,E02b,I60.json:estimates.specs.raw.null_sd,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Unwinsorised,3,3.96,E01d,I60.json:estimates.specs.winsor_5_95.z,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Unwinsorised,4,0.0005,E01c,I60.json:estimates.specs.winsor_5_95.RI_p,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Winsorised 1/99,1,0.816,E03,I60.json:estimates.specs.winsor_1_99.observed,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Winsorised 1/99,2,0.114,E03a,I60.json:estimates.specs.winsor_1_99.null_mean,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Winsorised 1/99,2,0.171,E03b,I60.json:estimates.specs.winsor_1_99.null_sd,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Winsorised 1/99,3,4.10,,I60.json:estimates.specs.winsor_1_99.z,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Winsorised 1/99,4,0.0010,E03c,I60.json:estimates.specs.winsor_1_99.RI_p,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Winsorised 10/90,1,0.634,E04,I60.json:estimates.specs.winsor_10_90.observed,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Winsorised 10/90,2,0.096,E04a,I60.json:estimates.specs.winsor_10_90.null_mean,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Winsorised 10/90,2,0.136,E04b,I60.json:estimates.specs.winsor_10_90.null_sd,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Winsorised 10/90,3,3.96,E01d,I60.json:estimates.specs.winsor_5_95.z,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Winsorised 10/90,4,0.0005,E01c,I60.json:estimates.specs.winsor_5_95.RI_p,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Inverse hyperbolic sine of hiring rate,1,0.206,E07,I66.json:estimates.panelC_asinh.observed,i66_pretrend_zeros.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Inverse hyperbolic sine of hiring rate,2,0.026,,I66.json:estimates.panelC_asinh.null_mean,i66_pretrend_zeros.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Inverse hyperbolic sine of hiring rate,2,0.059,,I66.json:estimates.panelC_asinh.null_sd,i66_pretrend_zeros.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Inverse hyperbolic sine of hiring rate,3,3.08,E07b,I66.json:estimates.panelC_asinh.z,i66_pretrend_zeros.py
appendix,Table B3. Alternative transformations of the hiring outcome,,Inverse hyperbolic sine of hiring rate,4,0.0010,E03c,I60.json:estimates.specs.winsor_1_99.RI_p,i60_speccurve.py
appendix,Table B3. Alternative transformations of the hiring outcome,,​,1,0.162,E08,I66.json:estimates.panelD_log1p.observed,i66_pretrend_zeros.py
appendix,Table B3. Alternative transformations of the hiring outcome,,​,2,0.017,,I66.json:estimates.panelD_log1p.null_mean,i66_pretrend_zeros.py
appendix,Table B3. Alternative transformations of the hiring outcome,,​,2,0.045,,I66.json:estimates.panelD_log1p.null_sd,i66_pretrend_zeros.py
appendix,Table B3. Alternative transformations of the hiring outcome,,​,3,3.24,E08b,I66.json:estimates.panelD_log1p.z,i66_pretrend_zeros.py
appendix,Table B3. Alternative transformations of the hiring outcome,,​,4,0.0020,E07a,I66.json:estimates.panelC_asinh.p_two_sided,i66_pretrend_zeros.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,"Primary: exact state tercile, 5 controls",1,286,E01,I60.json:estimates.specs.winsor_5_95.observed (n),i60_speccurve.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,"Primary: exact state tercile, 5 controls",2,0.710,E01,I60.json:estimates.specs.winsor_5_95.observed,i60_speccurve.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,"Primary: exact state tercile, 5 controls",3,3.96,E01d,I60.json:estimates.specs.winsor_5_95.z,i60_speccurve.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,"Primary: exact state tercile, 5 controls",4,0.0005,E01c,I60.json:estimates.specs.winsor_5_95.RI_p,i60_speccurve.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,"Exact state tercile, 20 controls",1,286,E01,I60.json:estimates.specs.winsor_5_95.observed (n),i60_speccurve.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,"Exact state tercile, 20 controls",2,0.678,,I62.json:estimates.bin_k20.observed,i62_power3.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,"Exact state tercile, 20 controls",3,4.12,G04,I62.json:estimates.bin_k20.z,i62_power3.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,"Exact state tercile, 20 controls",4,0.0005,E01c,I60.json:estimates.specs.winsor_5_95.RI_p,i60_speccurve.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,"State included in neighbour distance, 5 controls",1,299,,I63.json:estimates.C 산업 1자리.n,i63_sample_expansion.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,"State included in neighbour distance, 5 controls",2,0.640,,I62.json:estimates.dist_k5.observed,i62_power3.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,"State included in neighbour distance, 5 controls",3,3.54,,I62.json:estimates.dist_k5.z,i62_power3.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,"State included in neighbour distance, 5 controls",4,0.0010,E03c,I60.json:estimates.specs.winsor_1_99.RI_p,i60_speccurve.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,At least 6 of 12 state months observed,1,310,G02,I63.json:estimates.A' 상태창 ≥6개월.observed (n),i63_sample_expansion.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,At least 6 of 12 state months observed,2,0.655,G02,I63.json:estimates.A' 상태창 ≥6개월.observed,i63_sample_expansion.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,At least 6 of 12 state months observed,3,4.57,G02a,I63.json:estimates.A' 상태창 ≥6개월.z,i63_sample_expansion.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,At least 6 of 12 state months observed,4,0.0005,E01c,I60.json:estimates.specs.winsor_5_95.RI_p,i60_speccurve.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,Two state bins rather than three,1,292,,I63.json:estimates.B 상태 2분위.n,i63_sample_expansion.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,Two state bins rather than three,2,0.610,,I63.json:estimates.B 상태 2분위.observed,i63_sample_expansion.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,Two state bins rather than three,3,3.65,,I63.json:estimates.B 상태 2분위.z,i63_sample_expansion.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,Two state bins rather than three,4,0.0005,E01c,I60.json:estimates.specs.winsor_5_95.RI_p,i60_speccurve.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,One-digit rather than two-digit industry cell,1,299,,I63.json:estimates.C 산업 1자리.n,i63_sample_expansion.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,One-digit rather than two-digit industry cell,2,0.636,,I63.json:estimates.C 산업 1자리.observed,i63_sample_expansion.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,One-digit rather than two-digit industry cell,3,3.69,,I63.json:estimates.C 산업 1자리.z,i63_sample_expansion.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,One-digit rather than two-digit industry cell,4,0.0005,E01c,I60.json:estimates.specs.winsor_5_95.RI_p,i60_speccurve.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,State measured over months −36 to −13,1,244,D12,"I56.json:estimates.panelC_state_window.24개월 [−36,−13].observed (n)",i56_efficiency.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,State measured over months −36 to −13,2,0.388,D12,"I56.json:estimates.panelC_state_window.24개월 [−36,−13].observed",i56_efficiency.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,State measured over months −36 to −13,3,2.33,,"I56.json:estimates.panelC_state_window.24개월 [−36,−13].z",i56_efficiency.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,State measured over months −36 to −13,4,0.0115,D12a,"I56.json:estimates.panelC_state_window.24개월 [−36,−13].RI_p",i56_efficiency.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,Inverse-variance weighting,1,286,E01,I60.json:estimates.specs.winsor_5_95.observed (n),i60_speccurve.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,Inverse-variance weighting,2,0.346,D12b,I56.json:estimates.panelE_weighting.precision_weighted.observed,i56_efficiency.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,Inverse-variance weighting,3,2.28,,I56.json:estimates.panelE_weighting.precision_weighted.z,i56_efficiency.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,Inverse-variance weighting,4,0.0155,D12c,I56.json:estimates.panelE_weighting.precision_weighted.RI_p,i56_efficiency.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,Add deal-year fixed effects,1,286,,I56.json:estimates.panelF_covariates.plus_year.n_treated,i56_efficiency.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,Add deal-year fixed effects,2,0.678,,I56.json:estimates.panelF_covariates.plus_year.observed,i56_efficiency.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,Add deal-year fixed effects,3,3.50,,I56.json:estimates.panelF_covariates.plus_year.z,i56_efficiency.py
appendix,Table B4. Selected alternatives to the primary matching and estimation design,,Add deal-year fixed effects,4,0.0010,,I56.json:estimates.panelF_covariates.plus_year.RI_p,i56_efficiency.py
appendix,Table C1. Accounting consistency of pension worker flows,,Firm-month observations,1,"227,339",C92,I48.json:estimates.panelB_stock_flow.rel_error_median (n),i48_construct_validity.py
appendix,Table C1. Accounting consistency of pension worker flows,,Median absolute discrepancy,1,1,C92c,I48.json:estimates.panelB_stock_flow.median_abs_error,i48_construct_validity.py
appendix,Table C1. Accounting consistency of pension worker flows,,Share reconciling exactly,1,24.3,,I48.json:estimates.panelB_stock_flow.exact_zero_share,i48_construct_validity.py
appendix,Table C1. Accounting consistency of pension worker flows,,Median discrepancy relative to employment,1,1.4,,I48.json:estimates.panelB_stock_flow.rel_error_median,i48_construct_validity.py
appendix,Table C1. Accounting consistency of pension worker flows,,"90th percentile, relative discrepancy",1,7.1,,I48.json:estimates.panelB_stock_flow.rel_error_p90,i48_construct_validity.py
appendix,Table C1. Accounting consistency of pension worker flows,,"Treated firms, year before transaction",1,2.8,,"I48.json:estimates.panelB_stock_flow.treated_profile.pre[-12,-1].mean_rel_error",i48_construct_validity.py
appendix,Table C1. Accounting consistency of pension worker flows,,"Treated firms, transaction month",1,3.6,,"I48.json:estimates.panelB_stock_flow.treated_profile.deal[0,0].mean_rel_error",i48_construct_validity.py
appendix,Table C1. Accounting consistency of pension worker flows,,"Treated firms, post-transaction period",1,3.1,,"I48.json:estimates.panelB_stock_flow.treated_profile.post[1,12].mean_rel_error",i48_construct_validity.py
appendix,Table C2. Hiring-state gradient under worker-flow measurement checks,,Primary hiring measure,1,0.7101,E01h,I65.json:estimates.panelA_firm_cluster.ci95,i65_bootci_reuse.py
appendix,Table C2. Hiring-state gradient under worker-flow measurement checks,,Primary hiring measure,2,0.3187,E01h,I65.json:estimates.panelA_firm_cluster.ci95 (ci0),i65_bootci_reuse.py
appendix,Table C2. Hiring-state gradient under worker-flow measurement checks,,Primary hiring measure,2,1.1254,E01h,I65.json:estimates.panelA_firm_cluster.ci95 (ci1),i65_bootci_reuse.py
appendix,Table C2. Hiring-state gradient under worker-flow measurement checks,,Exclude months with relative discrepancy above 10%,1,0.312,C94,I48.json:estimates.panelC_exclusions.exclude_rel_gt_10pct.slope_adj,i48_construct_validity.py
appendix,Table C2. Hiring-state gradient under worker-flow measurement checks,,Exclude months with relative discrepancy above 5%,1,0.544,C94a,I48.json:estimates.panelC_exclusions.exclude_rel_gt_5pct.slope_adj,i48_construct_validity.py
appendix,Table C2. Hiring-state gradient under worker-flow measurement checks,,Exclude months with total turnover above 50% of employment,1,0.488,C94b,I48.json:estimates.panelC_exclusions.exclude_churn_gt_50pct.slope_adj,i48_construct_validity.py
appendix,Table C2. Hiring-state gradient under worker-flow measurement checks,,Exclude months with total turnover above 50% of employment,2,0.102,C94b,I48.json:estimates.panelC_exclusions.exclude_churn_gt_50pct.slope_adj (ci0),i48_construct_validity.py
appendix,Table C2. Hiring-state gradient under worker-flow measurement checks,,Exclude months with total turnover above 50% of employment,2,0.850,C94b,I48.json:estimates.panelC_exclusions.exclude_churn_gt_50pct.slope_adj (ci1),i48_construct_validity.py
